ISO_code,Vaccine,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
GUY,BCG,0.68,,0.78,0.76,0.85,0.98,0.76,0.69,0.64,0.76,0.85,0.89,0.88,0.94,0.94,0.93,0.88,0.94,0.92,0.91,0.93,0.95,0.91,0.95,0.94,0.96,0.96,0.97,0.96,0.98,0.98,0.97,0.98,0.98,0.99,0.99
HTI,BCG,0.26,0.6,0.58,0.62,0.71,0.57,0.61,0.45,0.45,0.4,0.72,,0.48,0.48,0.39,0.51,,0.4,0.52,0.57,0.57,0.49,0.45,0.56,0.43,0.62,0.59,0.7,0.62,0.66,0.64,0.82,0.74,0.75,0.67,0.72
HND,BCG,0.25,0.41,0.5,0.55,0.41,0.65,0.72,0.66,0.64,0.8,0.7,0.99,0.92,0.95,0.99,0.97,0.99,0.99,0.96,0.93,0.99,0.99,0.94,0.91,0.98,0.98,0.97,0.99,0.99,0.99,0.99,0.99,0.89,0.87,0.86,0.99
HUN,BCG,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
IND,BCG,0.08,0.12,0.28,0.3,0.37,0.47,0.77,0.95,0.97,0.99,0.99,0.93,0.96,0.97,0.99,0.97,0.98,0.99,0.91,0.74,0.74,0.75,0.75,0.77,0.8,0.86,0.86,0.87,0.86,0.88,0.89,0.9,0.9,0.91,,0.87
IDN,BCG,0.61,0.55,0.6,0.58,0.56,0.65,0.66,0.77,0.81,0.85,0.94,0.95,0.97,0.95,0.99,0.99,0.99,0.99,0.98,0.97,0.87,0.8,0.77,0.97,0.78,0.97,0.93,0.92,0.89,0.93,0.97,0.97,0.89,0.92,0.94,0.9
IRN,BCG,0.07,0.06,0.1,0.1,0.1,0.79,0.56,0.56,0.88,0.85,0.95,0.91,0.99,0.99,0.99,0.96,0.96,0.91,0.99,0.99,0.99,0.91,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
IRQ,BCG,0.76,0.76,0.09,0.62,0.6,,0.78,0.96,0.87,0.98,0.95,0.79,0.85,0.99,0.99,0.99,0.99,0.97,0.76,0.85,0.79,0.85,0.72,0.66,0.94,0.95,0.9,0.9,0.83,0.99,0.86,0.69,0.99,0.93,0.91,0.8
IRL,BCG,,,,0.75,0.75,0.8,,,,,,,,,,,,,,0.9,,,,,0.91,0.93,0.93,0.93,0.94,0.95,0.96,0.85,0.8,0.86,0.86,0.87
ISR,BCG,0.75,0.7,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,BCG,0.38,,0.27,0.56,0.5,0.51,0.73,0.92,0.96,0.99,0.98,0.94,0.86,0.99,0.99,0.98,0.98,0.97,0.85,0.89,0.93,0.96,0.9,0.88,0.9,0.95,0.9,0.87,0.92,0.94,0.95,0.99,0.96,0.93,0.9,0.99
JPN,BCG,,0.85,0.96,0.91,0.85,0.85,,,,0.85,0.85,0.94,0.93,0.91,,,,,,,0.96,,0.96,0.96,,,,0.94,0.9,0.94,0.99,0.94,0.95,0.93,0.93,0.84
JOR,BCG,0.32,,0.02,,,,,,,,,,,,,,,,,,,,0.29,0.67,0.58,0.89,0.95,0.9,0.95,0.95,0.95,0.95,0.96,0.98,0.95,0.98
